Element,Degree,Arcana,Name,SpellType,MP,CastTime,TN,Test,Effect,Page,Source
Beast Arcana,Novice,Beast - Novice,Beast Speech,Utility,2,Major Action,12,,"You can channel your magic to communicate with members of the beast world.
For the remainder of the encounter your speech becomes intelligible to all beasts and you can likewise understand their vocalizations as if they were speaking to you. Most natural beasts aren't really great conversationalists and cannot understand or convey complex concepts, but any beast that is not hostile toward you may at least be persuaded to tell you things it has recently seen or experienced, or things it knows about the local area. Communication tests may be required, and social stunts involving beasts are possible as a result of these tests.",120,FCRB
Beast Arcana,Novice,Beast - Novice,Beast Summoning,Utility,4,Major Action,11,,"You send out a mystic call that summons a nearby beast or group of beasts.
A successful casting roll means the beasts hear your call from up to your level in miles away and come to you as quickly as they can under their own power. Summoned beasts are not under your control and behave normally according to their nature when they arrive at your location. You can use other spells to communicate with the beasts or convince them to do as you wish. You may limit your summons to a particular type of beast (such as only birds of prey, horses, or wolves, for example) or even to a particular beast known to you, such as a pet or mount.",120,FCRB
Beast Arcana,Novice,Beast - Novice,Power of the Wild,Enhancement,8,Major Action,12,,"You magically ""borrow"" an aspect of a beast to improve your own abilities.
Choose a type of beast with an ability rating greater than one of your abilities. For the duration, you gain a +2 bonus to that ability, up to a maximum equal to the beast's ability rating. You also gain one focus the beast possesses for that ability. If you already have that focus, then your bonus with it increases from +2 to +3. If you are level 11 or higher, your +1 bonus to all focuses applies to the focus you gained with this spell.
Example
Harrald the Beastmaster calls upon the Constitution of the Bear. Harrald has a Constitution rating of 2, lower than the bear, so he gains a +2 bonus, increasing his Constitution to 4. He could go up to a maximum of 6, the same as a bear. He also gains the Stamina focus of Constitution, since that's the only focus bears have for that ability. If Harrald already had that focus (he doesn't), his focus bonus would increase to +3. If his level were 11 or higher, a further +1 bonus would increase the bonus to +3 if he didn't have the focus before, or +4 if he did.
Power of the wild normally lasts for one minute, but you can pay an additional 5 MP upon casting it for it to last two minutes instead.
At Expert degree, you can cast power of the wild on a subject other than yourself by touching them. The spell's effects are the same otherwise.",120,FCRB
Beast Arcana,Expert,Beast - Expert,Charm Beasts,Utility,8,Major Action,13,Willpower (Morale) Vs. Spellpower,"You magically charm a beast within 6 yards merely by making eye contact with it.
The beast must make a Willpower (Morale) test against your Spellpower. If it fails, its attitude toward you for the remainder of the encounter becomes friendly and agreeable, as if you had trained it with the Novice degree of the Animal Training talent (see Chapter 3).
At Master degree, you can influence a charmed beast as if you had trained it to the Expert degree of Animal Training. You can also cast charm beasts on multiple beasts at once by paying an additional +2 MP per additional beast, up to a maximum of your Willpower.",120,FCRB
Beast Arcana,Expert,Beast - Expert,Lesser Beast Form,Utility,10,Major Action,12,,"You take on the physical form of a beast, gaining all its physical abilities.
For the rest of the encounter, or until you choose to reassume your normal form, you transform into a natural animal of your choice that is rated as a Minor Threat (See Chapter 9: Adversaries). Examples include a bat, a boar, a cat, a dog, an eagle, or a horse. While in beast form, you retain your own Intelligence and Willpower (and focuses) and gain all of the beast's other abilities and focuses. You gain the higher of the beast's Perception and Health or your own. You cannot use your own physical or class abilities while in beast form, including casting spells and any carried or held equipment either drops to the ground where you transform or else disappears, melding into your own form and is unusable until you assume your normal form again.",120,FCRB
Beast Arcana,Master,Beast - Master,Curse of the Beast,Attack,12,Major Action,15,Willpower (Self-Discipline) Vs. Spellpower,"Your sorcery transforms a foe into a humble beast.
Choose a target within 6 yards of you, who must immediately roll a Willpower (Self-Discipline) test against your Spellpower. If the test fails, the target is transformed into a Minor Threat beast of your choice (See Chapter 9). The target loses all their previous abilities, focuses, talents, and qualities, except for Willpower and Health. Replace them with those of the beast's abilities instead.
Each round, the victim of curse of the beast may roll a new Willpower (Self-Discipline) test at the start of each of their turns as a free action. Success ends the spell, but four total failures mean the victim is permanently trapped in beast form until you either choose to end the spell or it is removed, such as by arcane abatement.",121,FCRB
Beast Arcana,Master,Beast - Master,Greater Beast Form,Utility,15,Major Action,12,,"You take on the physical form of a more powerful beast.
Like lesser beast form, except you can transform into a Moderate Threat beast of your choice (See Chapter 9: Adversaries). At the Game Master's option, you can also transform into a Moderate Threat version of a Minor Threat beast by adding 1 to any three of the beast's abilities, two focuses, and increasing its Health by 5.",121,FCRB
Cold Arcana,Novice,Cold - Novice,Icy Grip,Attack,4,Major Action,12,Constitution (Stamina) Vs. Spellpower,"A cloud of frost and ice swirls forth to envelop a target of your choice.
The target must be within 20 yards, and the cloud lasts for rounds equal to your Willpower. The target takes 1d6 penetrating damage from the cold. Each additional round, at the start of your turn, the target must make a Constitution (Stamina) test vs. your Spellpower. If successful, the icy grip spell ends. If the test fails, the target takes another 1d6 penetrating damage and a -2 cumulative penalty to Speed. The caster decides whether a target reduced to 0 Health by icy grip is frozen solid, in which case they are Dying, or substantially encased in ice, in which case they are Helpless.",121,FCRB
Cold Arcana,Novice,Cold - Novice,Ice Knives,Attack,4,Major Action,11,Dexterity (Acrobatics) Vs. Spellpower,"You fling a shower of razor-sharp icicles at your foes.
These ice knives manifest in an arc from the caster 5 yards long and up to 2 yards wide. Any creature in the area must make a Dexterity (Acrobatics) test against your Spellpower. On a failure, the creature suffers 1d6 + Willpower damage. A successful test results only in damage equal to your Willpower (minimum of 1).",122,FCRB
Cold Arcana,Novice,Cold - Novice,Ice Sheet,Attack,6,Major Action,13,Dexterity (Acrobatics) Vs. Spellpower,"You mystically create a slippery layer of frozen water on the ground beneath your opponents.
The ice sheet can be up to 10 yards in diameter, anywhere within 30 yards of you. Anyone in the area at the time of casting, entering the area subsequently, or moving within the area must make a successful Dexterity (Acrobatics) test vs. your Spellpower or fall Prone. Prone characters can crawl but standing up requires another test to avoid falling. If you cast ice sheet on a body of water, it freezes the surface, creating ice thick enough for a person to walk on, free-floating unless it can touch and anchor to where the water meets land. A 10-yard or smaller diameter area is completely frozen over. The ice sheet persists as long as the local temperature allows, melting normally if it is above freezing.",122,FCRB
Cold Arcana,Novice,Cold - Novice,Winter's Walk,Utility,4,Major Action,10,,"Icy arcane power speeds your passage through areas of frozen terrain.
Choose any creatures within 6 yards of you (including yourself). For the remainder of the encounter, the subjects can all move across ice and snow without any reduction in Speed or any chance of sinking, slipping, or falling. Subjects leave no footprints, even on soft or powdery snow, and are immune to the effects of the ice sheet spell.",122,FCRB
Cold Arcana,Expert,Cold - Expert,Immunity to Cold,Defense,4,Major Action,13,,"Your magics protect you or others from cold-based damage.
You, or the subject touched, become immune to the effects of cold and freezing temperatures for the rest of the encounter. This includes damage inflicted solely by cold temperatures including other Cold Arcana spells, but not by physical weapons made of ice.",122,FCRB
Cold Arcana,Expert,Cold - Expert,Frost Weapons,Attack,6,Major Action,15,,"Damaging cold energy radiates from the weapons of your allies.
The readied melee weapons of all allies within 10 yards of you exude freezing cold, inflicting an additional 2 points of penetrating damage with each successful attack. The spell lasts for one minute; you can extend the duration by spending an additional 2 MP per additional minute. Frost weapons does not harm the weapons themselves or their wielders.",122,FCRB
Cold Arcana,Master,Cold - Master,Winter Blast,Attack,15,Major Action,17,Constitution (Stamina) Vs. Spellpower,"Freezing mists numb and chill your foes.
You project a blast of freezing mist from your outstretched hands that is 2 yards wide and 8 yards long. Anyone in the area suffers 2d6 + Willpower penetrating damage and a -10 penalty to Speed for a number of rounds equal to half your Willpower, rounded down (minimum of 1). Subjects who succeed on the Constitution (Stamina) test vs. your Spellpower only take 1d6 + Willpower penetrating damage and a -5 penalty to Speed.",122,FCRB
Cold Arcana,Master,Cold - Master,Blizzard Burst,Attack,20,Major Action,17,Dexterity (Acrobatics) Vs. Spellpower,"The force of a blizzard strikes at your command.
You conjure a roaring blizzard of swirling ice and snow in a 5-yard radius, centered anywhere within 50 yards of you. Anyone in the affected area takes 2d6 + Willpower penetrating damage and must succeed on a Dexterity (Acrobatics) test vs. your Spellpower or fall Prone. Targets that start their turn in the area of the blizzard burst take an additional 1d6 penetrating damage and must make a Dexterity (Acrobatics) test to avoid falling Prone. All melee attacks made into or out of the area of the blizzard burst suffer a -2 penalty, while all ranged attacks suffer a -5 penalty. The spell normally lasts for only one round but, for 10 MP, you can extend its duration another round at the start of your turn as a free action.",122,FCRB
Death Arcana,Novice,Death - Novice,Draw Upon Death,Utility,6,Major Action,15,,"You draw upon the fading life force of the dying to replenish and heal yourself.
For the rest of the encounter, whenever a living creature dies within 6 yards of you while the spell is in effect, you can choose to regain either 1d6 Health or 1d6 Magic Points. This replenishment cannot increase either score above its normal maximum.",123,FCRB
Death Arcana,Novice,Death - Novice,Ghost Strike,Enhancement,4,Major Action,11,,"You empower your allies to combat incorporeal spirits. Choose allies within 6 yards of you equal to your Willpower (including yourself). For the remainder of the encounter, those allies' melee attacks can affect incorporeal spirits of the dead, such as spectres (see Chapter 9: Adversaries), as if they were solid. Allies affected by the spell can also otherwise touch such creatures, but don't gain the benefit of this spell for ranged attacks.",123,FCRB
Death Arcana,Novice,Death - Novice,Speak With the Dead,Utility,10,Major Action,15,,"You touch a corpse and gain the ability to speak with the spirit of the deceased who once inhabited that body.
You may ask questions which the spirit is compelled to answer truthfully, although it cannot relate information it did not know in life. The initial casting of speak with the dead gets you one question, but you can spend an additional 5 MP per additional question, up to a maximum number equal to your Willpower + 1 (minimum 1).",123,FCRB
Death Arcana,Novice,Death - Novice,Ward Off the Dead,Defense,6,Major Action,11,Willpower (Morale) Vs. Spellpower,"You speak powerful words of command to compel the obedience of the unliving.
Any undead creature able to perceive you when you cast ward off the dead must roll a Willpower (Morale) test against your Spellpower. If it fails, the creature cannot approach within 3 yards of you, and must retreat to that distance if it is already closer. Furthermore, the creature cannot use any Special Qualities on you or anyone within 3 yards of you. If the undead creature succeeds on the Willpower (Morale) test, it is unaffected. You can maintain the effects of ward off the dead by taking an Activate action on each of your turns, and so long as you maintain it, the effects persist. If you or your allies attack an affected undead creature, the effect of the spell ends for that creature.",123,FCRB
Death Arcana,Expert,Death - Expert,Animate Dead,Utility,10,One Minute,17,,"You touch a corpse, infusing it with arcane power and causing it to rise as a walking corpse (see Chapter 9).
The walking corpse created by this spell obeys your verbal commands while it exists. The corpse remains animated for 1 minute, but you can extend thespell's effect by an additional minute by spending 2 MP.
At Master degree, you can spend an additional 5 MP when casting this spell for each of the following effects:
Shorten the casting time of animate dead to a major action.
Raise an additional corpse.
Raise one or more corpses within 5 yards of you without touching them.
You can apply the second and third effects multiple times. The additional MP costs are cumulative.",123,FCRB
Death Arcana,Expert,Death - Expert,Pestilence,Attack,8,Major Action,13,Constitution (Stamina) Vs. Spellpower,"You inflict a terrible, sorcerous wasting disease on a target of your choice.
The victim must be within 10 yards of you and makes a Constitution (Stamina) test against your Spellpower. If the test succeeds, there is no effect. If it fails, the victim immediately falls ill, and they have a -2 penalty on all physical ability tests. Each hour after the pestilence takes hold, the victim must make another Constitution (Stamina) test against your Spellpower to avoid taking 1d6 penetrating damage, which cannot be healed so long as the disease persists. Victims reduced to half their Health or less have their Speed halved. The pestilence lasts until the victim succeeds two consecutive Constitution (Stamina) tests against it or the disease is cured by a cure spell or an Intelligence (Healing) test against the caster's Spellpower.test succeeds, there is no effect. If it fails, the victim immediately falls ill, and they have a -2 penalty on all physical ability tests. Each hour after the pestilence takes hold, the victim must make another Constitution (Stamina) test against your Spellpower to avoid taking 1d6 penetrating damage, which cannot be healed so long as the disease persists. Victims reduced to half their Health or less have their Speed halved. The pestilence lasts until the victim succeeds two consecutive Constitution (Stamina) tests against it or the disease is cured by a cure spell or an Intelligence (Healing) test against the caster's Spellpower.",123,FCRB
Death Arcana,Master,Death - Master,Death Curse,Attack,20,Major Action,21,Constitution (Stamina) Vs. Spellpower,"You invoke a deadly curse upon your enemies.
Choose either a single target or a 5-yard radius area within 50 yards of you. If you target a single enemy, they suffer 2d6 + Willpower penetrating damage immediately and 1d6 + Willpower penetrating damage at the start of each of their turns. Additionally, they cannot regain Health by any means while the spell lasts. If the target makes a successful Constitution (Stamina) test vs. your Spellpower, they suffer only 1d6 penetrating damage per turn and can regain Health as usual.
If you target an area, any living creature that enters or starts its turn in that area takes 2d6 + Willpower penetrating damage. If the creature makes a successful Constitution (Stamina) test vs. your Spellpower, they suffer only 1d6 penetrating damage.
The death curse lasts for a number of rounds equal to your Willpower, but for 10 MP you can extend its duration for one additional round at the start of your turn as a free action.",124,FCRB
Death Arcana,Master,Death - Master,Steal life,Attack,12,Major Action,15,Constitution (Stamina) Vs. Spellpower,"You can replenish your life force by mystically stealing it from others.
The steal life spell has two possible effects, as follows.
The target must make a Constitution (Stamina) test against your Spellpower or take 3d6 + Willpower penetrating damage. If you have lost Health, then steal life allows you to regain it by taking it from a target you touch on a 1-to-1 basis; for each point of Health you regain, the target loses one. When the target is reduced to Health 0, they die.
If you are at full Health, you can steal actual years of life from your target and reduce your physical age accordingly. In this case the damage rolled is the number of years that can be stolen. The target physically ages while you grow younger and more vital. This is a 1-to-1 transfer if the caster and subject belong to creatures with the same biological lifespan, otherwise it is adjusted relative to the caster's lifespan. If you drain a target with a biological lifespan that is half of yours, you gain a year of life for each six months they lose. If you drain a target with ten times your biological lifespan, you gain a year for every 10 they lose, and so forth. A subject aged to their biological maximum lifespan dies. A rejuvenate body spell can restore years lost to steal life.
Stealing Health occurs instantly when you touch the subject. Stealing years of life is more gradual, at a rate of one year granted to you per round of contact. This usually means your subject must be restrained or helpless to drain them fully. In either case, if the target succeeds on the initial Constitution (Stamina) test against your Spellpower, there is no effect.",124,FCRB
Divination Arcana,Novice,Divination - Novice,Divine Speech,Utility,4,1 Minute,9,,"Divine glibness directs your speech, allowing you to say exactly the right things to someone to improve their attitude toward you and achieve your desired ends.
Select one subject you are capable of communicating with. For the remainder of the encounter, you gain a +2 bonus to the Stunt Die of Communication tests to change that individual's attitude (see Impressions and Attitudes in Chapter 2). This bonus increases your total test result and degree of success and, if you score doubles, the number of stunt points you gain, but don't count it when determining if you've scored doubles.",125,FCRB
Divination Arcana,Novice,Divination - Novice,Blood Mark,Utility,4+,1 Minute,11,Perception (Touching) vs. Spellpower,"You inscribe an object or creature with an arcane mark unique to you that remains until you dismiss it. It requires a drop of your blood, although the mark itself is invisible to the naked eye. Some variations of this spell take the form of a whisper emanating from the mark which only you can hear.
Once an object or creature has a blood mark on it, you automatically know if it is within a mile of you. You can also ""burn"" the blood mark so that for 10 minutes you will know the direction of a target with your mark even if you cannot otherwise perceive them ”this erases the mark on the target when the duration expires. You may, however, sustain thespell's effect longer, for 10 more minutes per 2 MP, decided when the effect would otherwise end. In any event, when you stop sustaining a ""burned""blood mark it expires. Unless burned, a blood mark lasts indefinitely.
You can keep a number of active blood marks equal to your Willpower. A living creature can find and remove a blood mark on them by making a successful Perception (Touching) test",125,FCRB
Divination Arcana,Novice,Divination - Novice,Forewarning,Utility,2,Minor Action,9,Dexterity (Stealth) Vs. Spellpower,"An arcanely-invoked ""sixth-sense""warns you of imminent danger or threats.
After successfully casting this spell, you, or another subject you've touched cannot be surprised (see Surprise in Chapter 8) except by attackers who are themselves magically concealed, in which case they must succeed on a Dexterity (Stealth) test against your Spellpower in order to surprise you. Also, you gain a +2 bonus on all tests to avoid hazards where a moment's forewarning can aid you (see Hazards in Chapter 8). Both effects last for the rest of the encounter.",125,FCRB
Divination Arcana,Novice,Divination - Novice,Sentinel,Utility,3,Major Action,9,Dexterity (Stealth) Vs. Spellpower,"You weave together arcane energies to place a location under surveillance.
When you cast this spell, you place an invisible, intangible arcane watcher to monitor an area no larger than a 3-yard radius. The spell cannot be placed on an object or creature, only to observe a place. If any circumstance you specify when casting the sentinel occurs in that area, you receive a vision of it as if you were standing where the sentinel is placed. Examples include when any humanoid creature enters the area, when a particular door or container opens, or when light enters the area. You can maintain the vision by taking a minor action each round to do so, but your ordinary senses are overridden, so you are unaware of what is happening near you while you are observing events elsewhere. You can maintain a number of active sentinel spells at any one time equal to your Willpower, although you can only perceive through one of them at a time.
At Expert degree, you can spend an additional 2 MP to allow your sentinel to deliver a short message (just a sentence or two) in the voice of your choosing when it is activated.
At Master degree, you can cast a single spell you know while perceiving through your sentinel as if you were present at that point, but doing so ends the sentinel spell.",125,FCRB
Divination Arcana,Expert,Divination - Expert,Ill Omens,Attack,8,1 Minute,14,Willpower (Faith) vs. Spellpower,"Your knowledge of the future makes one target vulnerable.
When you meet the target in any type of encounter during the 24 hours after you cast ill omens, you can activate its effects as a free action. For the remainder of the encounter, the target suffers a -2 penalty on ability tests based on one ability of your choice (Communication, Dexterity, etc.). Stunts based on that ability also generate -2 stunt points. If the target makes a successful Willpower (Faith) test vs. your Spellpower, the ability test and stunt point penalties are only -1. Ill omens is only effective for a single encounter, and it cannot be cast on the same target more than once every 24 hours, though you may cast it again to affect a different target without this restriction. Each target requires a separate ill omens casting.",126,FCRB
Divination Arcana,Expert,Divination - Expert,Scrying,Utility,8,Major Action,13,Perception (Empathy) vs. Spellpower,"You can perceive distant events as if you were physically present using a medium such as a crystal, flame, mirror, cloud of smoke, or liquid surface.
You can use scrying to sense a particular place, creature, or thing known to you using the TN from the Scrying table. If the casting roll is successful, you can observe the subject as if you were present. The vision lasts for as long as you concentrate, taking a minor action each round to do so, but your ordinary
senses are overridden so you are unaware of what is happening near you while you are observing events elsewhere.
Scrying creates an arcane disturbance, which creatures with Intelligence 1 or greater can sense. Any such creature under observation can make a Perception (Empathy) test against your Spellpower to recognize they are being mystically observed. Creatures with no arcane abilities get the intense feeling of being watched. Those with spell talents see a glowing or shadowy image of you observing them. At Master degree, you can deliberately allow this image to appear to others, if you wish, and speak to them through it as if you were present.

13 - Very Familiar: Close friend or relative, personal possession for at least a year, or has a currently active spell cast by you on them, such as blood mark or sentinel.
15 - Familiar: A subject the caster has been acquainted with for at least three months, such as a casual friend or well-known landmark.
17 - Somewhat Familiar: A subject the caster has been acquainted with for at least a week.
19 - Casually Familiar: A subject the caster has been acquainted with only briefly (such as an encounter), or incidentally (such as a person they've never paid attention to but have seen repeatedly).
 21 - Slightly Familiar: A subject the caster has only seen briefly or had described to them in detail.",126,FCRB
Divination Arcana,Master,Divination - Master,Good Omens,Defense,10,1 Minute,15,,"Your knowledge of the future provides good fortune to your party.
In the next combat encounter, you and your allies gain two benefits. First, each of you can reroll your Initiative tests and take the better result. Second, you and up to ten of your allies gain a +1 to your Defense for the whole encounter. In addition, once per round, without using another action, you can give yourself or any one ally a free Prepare action (see p. 49), allowing the recipient to delay their action and interrupt another participant's action on the fly, as luck provides ideal timing.",126,FCRB
Divination Arcana,Master,Divination - Master,Unveil,Utility,10,Major Action,15,,"Your sorcery reveals all, casting aside magic that would shroud the truth from your senses.
Upon casting this powerful divination and for the rest of the encounter, you can perceive through all forms of magical deception or illusion. Invisible things are visible to you, illusions revealed as unreal, and even magically created darkness or mist cannot hamper your sight. You remain aware of the presence of such things, but they have no effect on you and you can see them for what they really are. Magically transformed or shape-shifted beings show a ghostly overlay of their true form or appearance.",126,FCRB
Earth Arcana,Novice,Earth - Novice,Earth Passage,Utility,6,Major Action,11,,"Your connection to the earth allows you to use your magic to open a mystic passage through it.
You touch an earthen or stone surface and open an unseen magical passageway through it. The passage is up to 50 square feet (sufficient to be 7-by-7 feet or 10-by-5 feet) in diameter and extends up to 10 feet per degree of Earth Arcana through stone, or twice that distance through soil and sand. Both ends of the passage must touch open air or water or the spell does not work (and the caster knows why). Creatures can move through the earthen material in the passage as if it were empty air. The earth passage lasts for 1 minute or until the last creature within it emerges, whichever comes last.",127,FCRB
Earth Arcana,Novice,Earth - Novice,Rock Blast,Attack,4,Major Action,12,Constitution (Stamina) Vs. Spellpower,"You summon the power of earth to assault your enemies.
A blast of rock and stone bursts from your hand or arcane device at a visible enemy within 20 yards. They inflict 1d6 + Willpower penetrating damage and the target is knocked Prone. If the target makes a successful Constitution (Stamina) test vs. your Spellpower, rock blast does not inflict penetrating damage and the target remains standing.",127,FCRB
Earth Arcana,Novice,Earth - Novice,Stone Cloak,Defense,3,1 Minute,10,,"Your clothing takes on the toughness of stone while remaining pliable.
Stone cloak gives you an Armor Rating equal to your Willpower ability for 1 hour. If you are wearing regular armor, stone cloak has no effect. You can only cast this on yourself.",127,FCRB
Earth Arcana,Novice,Earth - Novice,Stone Porter,Utility,6,Major Action,11,,"This spell forms a slightly concave floating disk of stone between one and two yards across out of available earth and stone.
The stone porter levitates at the caster's command, carrying up to 200 pounds in weight per degree of Earth Arcana (to a maximum of 600 pounds for a Master). The stone porter can follow its caster at the same Speed (going wherever the caster goes), or the caster can take a minor action to direct the disk to move independently at a Speed of 10 + Willpower (in which case it is limited to moving 1 foot above ground firm and stable enough to support it and its contents). The stone porter lasts for the duration of the encounter, but the caster can spend thespell's MP cost again to extend its duration for another encounter.",127,FCRB
Earth Arcana,Expert,Earth - Expert,Earth Speed,Utility,6,Minor Action,13,,"You let the earth swallow and transport you, re-emerging anywhere within 30 yards that you can see. You must be standing on dirt when you cast the spell and you must emerge from the dirt as well.",127,FCRB
Earth Arcana,Expert,Earth - Expert,Shape Earth,Utility,8+,Major Action,11,,"You use your sorcery to move dirt (soil, clay, loam, sand), possibly collapsing embankments, moving hillocks, shifting sand dunes, and so forth.
With a successful casting roll, you can move a 150 square foot area of earth, with a depth of up to 10 feet. Each additional 150 square foot area you want to move at once increases the TN and MP Cost by +2, up to 900 feet by 900 feet at TN 21, costing 18 MP. Moving the earth like this takes 10 minutes. Shape earth does not violently break the surface of the ground. Instead, it creates wavelike crests and troughs, with the earth reacting like a fluid until the desired result is achieved. Trees, structures, and such are mostly unaffected except for changes in elevation and topography. Rock formations cannot be collapsed or moved. This effect cannot be used for tunneling and is too slow to trap or bury creatures
unless they are Helpless the entire time the earth is moved.",127,FCRB
Earth Arcana,Master,Earth - Master,Earthquake,Attack,10+ ,Major Action,17,Dexterity (Acrobatics) Vs. Spellpower,"The ground bucks and rolls in an area with a 6-yard radius anywhere you choose within 30 yards.
Anyone caught in the area suffers the Defenseless and Slowed conditions for one round (or as long as the spell lasts if extended). They must also succeed on a Dexterity (Acrobatics) test vs. your Spellpower or fall Prone. This spell normally lasts for one round but for 5 MP, paid at the start of your subsequent turns as a free action, you may extend the duration by an additional round.",127,FCRB
Earth Arcana,Master,Earth - Master,Quagmire,Attack,10,Major Action,11,,"All natural, undressed earth or stone in the affected area softens. Wet earth becomes thick mud, dry earth becomes loose sand or dirt, and stone becomes soft clay that is easily molded.
You affect an area of 10 square feet to a depth of 1 to 4 feet, depending on the toughness or resilience of the ground at that spot. Each +2 increase in TN affects another 10-foot square area. Dressed or worked stone cannot be affected. Earth and stone creatures are not affected, either. A creature in deep mud must succeed on a TN 13 Strength (Might) test or be unable to move and Defenseless (as the condition) for one round. A creature that succeeds on the test, or one which fails, but spends two minor actions freeing themselves to move in subsequent rounds, does not experience this and can move, but suffers the Slowed condition instead.
Loose dirt is not as troublesome as mud, but all creatures in the area move at only half their normal Speed.
Stone softened into clay does not hinder movement, but does allow characters to cut, shape, or excavate areas they may not have been able to affect before.
While quagmire does not affect dressed or worked stone, cavern ceilings or vertical surfaces such as cliff faces can be affected. Usually, this causes a collapse or landslide as the loosened material peels away from the face of the wall or roof and falls. A moderate amount of damage can be dealt to a structure by softening the ground beneath it, causing it to settle suddenly. However, most well-built structures are only damaged by this, not destroyed.",128,FCRB
Enchantment Arcana,Novice,Enchantment - Novice,Enchant Armor,Utility,4,Major Action,10,,"You touch a suit of armor or article of clothing and temporarily imbue it with arcane protection.
Until the end of the encounter, the item grants a +1 Armor Rating or a -1 reduction to Armor Penalty over its usual amount. Enchant armor can be cast twice on the same item to provide both the AR bonus and the reduction in Armor Penalty, but the bonuses do not stack otherwise. An ordinary item of clothing like a cloak or tunic can be enchanted to provide AR 1.
At higher degrees, you can increase the bonus by spending additional MP: at Expert you can provide a +2 bonus or -2 reduction in penalty for 6 MP, and at Master degree you can provide a +3 bonus or -3 reduction in penalty for 12 MP.",128,FCRB
