Name,DegreeLong,Specialization,Degree,Class1,Class2,Class3,Requirements,Description,Page,Source
Bard,Master,Bard - Master,3,Envoy,Rogue,,"Communication 2, The Performance Talent (Novice), At Least One Lore-Based Intelligence Focus","Tales of brave companions inspire your friends, and stories of horrific death give your enemies pause. As a major action you make either a TN 13 Communication (Performance) test to inspire allies, or a Communication (Performance) test opposed by your enemies' Willpower (Morale) tests to demoralize enemies, assuming these targets can perceive your performance. Success means you can either grant allies +1 to attack, damage, and Willpower-based rolls, or impose a -1 penalty to attack, damage, and Willpow- er-based rolls from your enemies. You can attempt each type of action until it succeeds once, after which its effects last for the encounter. Once you succeed at one of these options, you may not attempt the other during the same encounter.",84,FCRB
Berserker,Novice,Berserker - Novice,1,Warrior,,,"Strength 2, Willpower 2","You can drive yourself into a killing frenzy. Once per encounter, you may use the Activate action to become Berserk. You receive a +2 bonus on Willpower (Courage) and Willpower (Morale) tests while Berserk. You also receive a +2 bonus to damage rolls in melee combat. However, you suffer a -2 penalty to your Defense, Perception-based tests, and Willpower (Self-Discipline) tests while Berserk. You drop out of a Berserk state after two rounds where you can't or don't attempt a melee attack. Once you stop being Berserk, you can't become Berserk again during that encounter.",84,FCRB
Berserker,Expert,Berserker - Expert,2,Warrior,,,"Strength 2, Willpower 2","Your rage becomes more potent. While Berserk you gain the same bonuses and penalties as described in the Novice entry, but your bonus damage in melee combat increases by an additional 1d6, on top of the previous +2.",84,FCRB
Berserker,Master,Berserker - Master,3,Warrior,,,"Strength 2, Willpower 2","Your fury is unstoppable! If your Health drops to 0 while Berserk, you do not take a Defeat Condition until you are struck a number of times equal to your Constitution, or a number of rounds pass equal to your Willpower, whichever comes first. Your Health is 0, and although you're Defenseless (as the condition), you can still stagger through battle as pure rage keeps you standing.",84,FCRB
Champion,Novice,Champion - Novice,1,Envoy,Warrior,,"Communication 2, Strength 2. If You Belong To The Envoy Class, You Do Not Need To Meet These Requirements.","Your battle roar intimidates your opponents. When you take the Charge action, you can shout a war cry that gives all enemies within 8 yards of your charge's final position a -1 on attack rolls on their next turn.",85,FCRB
Champion,Expert,Champion - Expert,2,Envoy,Warrior,,"Communication 2, Strength 2. If You Belong To The Envoy Class, You Do Not Need To Meet These Requirements.","You can lead your allies in an inspired defense. First, you must use the Activate action to enter Rally Mode. When you do so, allies within 8 yards gain +1 Defense and a +1 on Willpower (Morale) tests while this mode is active. You can end your Rally with another minor action.",85,FCRB
Champion,Master,Champion - Master,3,Envoy,Warrior,,"Communication 2, Strength 2. If You Belong To The Envoy Class, You Do Not Need To Meet These Requirements.",Your presence on the battlefield cannot be ignored. When in Rally Mode your Expert effects affect allies within 12 yards of you. They also receive a +1 bonus on Willpower (Courage) tests and inflict +1 damage with melee attacks.,85,FCRB
Crime Lord,Novice,Crime lord - Novice,1,Any,,,"Willpower 2, The Strength (Intimidation) Focus Or Communication (Deception) Focus, The Intelligence (Thieves' Lore) Focus. If You belong to the Envoy class, you do not need to meet these requirements.","Your brutal style of command is only matched by your ability to hide threats and directives in innocuous words. You can perform the Hidden Message and Undermine social stunts for 1 SP less than normal.",85,FCRB
Crime Lord,Expert,Crime lord - Expert,2,Any,,,"Willpower 2, The Strength (Intimidation) Focus Or Communication (Deception) Focus, The Intelligence (Thieves' Lore) Focus. If You belong to the Envoy class, you do not need to meet these requirements.","You are exceptional at taking advantage of opportunities to push others to their limits through threats and careful lies. Add +1 to the Stunt Die to your Communication (Deception) or Strength (Intimidation) tests, increasing your chance of success, degree of success (including in advanced tests, where it contributes to the Success Threshold, as per Chapter 8: Mastering the Game), and the number of stunt points doubles will score.",85,FCRB
Crime Lord,Master,Crime lord - Master,3,Any,,,"Willpower 2, The Strength (Intimidation) Focus Or Communication (Deception) Focus, The Intelligence (Thieves' Lore) Focus. If You belong to the Envoy class, you do not need to meet these requirements.",You cultivate an aura of intelligent menace. You and a number of allies equal to your Communication rating  gain a +1 bonus to opposed tests and attack rolls against foes with a Willpower lower than the higher of your Strength or Communication.,85,FCRB
Diplomat,Novice,Diplomat - Novice,1,Envoy,,,"Communication 2, Novice Degree In The Linguistics Talent","You are adept enough at social graces to win friends and avoid embarrassment. Choose two focuses from among the following: Communication (Etiquette), Intelligence (Cultural Lore), or Intelligence (Heraldry). You may reroll a failed test with your chosen focuses, but you must accept the result of the second roll.",86,FCRB
Diplomat,Expert,Diplomat - Expert,2,Envoy,,,"Communication 2, Novice Degree In The Linguistics Talent","You are excellent at operating within established rules and customs to achieve your aims. When performing a Communication or Intelligence-based test that utilizes or investigates a treaty, set of traditional customs, or a code of law, add +1 to the Stunt Die, increasing your total roll, degree of success (including in advanced tests, where it contributes to the Success Threshold, as per Chapter 8: Mastering the Rules), and the number of stunt points doubles will score.",86,FCRB
Diplomat,Master,Diplomat - Master,3,Envoy,,,"Communication 2, Novice Degree In The Linguistics Talent","You can use your skills to delay or perhaps even prevent violence. Once per encounter, when combat is imminent, if you can communicate with potential combatants you may make an immediate Communication (Etiquette) test as a free action, opposed by your enemies' Willpower (Morale) rolls. Anyone in your audience who was defeated in the opposed test cannot attack unless attacked first, or until you have had a chance to say one thing, be it a plea to negotiate, insults to motivate your side, or information revealing it's all a mistake -- whatever it is, they have to listen first. If you are stalling for time, the Game Master can require additional opposed tests.",86,FCRB
Duelist,Novice,Duelist - Novice,1,Rogue,Warrior,,"Accuracy 2, Dexterity 2, Proficiency In The Dueling Weapon Group, At Least The Novice Degree In One Fighting Style Talent That Applies To Accuracy-Based Melee Weapons","You favor a more sophisticated form of fighting. While using an Accuracy-based melee weapon for which you possess a Fighting Style talent, you inflict +2 damage.",86,FCRB
Duelist,Expert,Duelist - Expert,2,Rogue,Warrior,,"Accuracy 2, Dexterity 2, Proficiency In The Dueling Weapon Group, At Least The Novice Degree In One Fighting Style Talent That Applies To Accuracy-Based Melee Weapons","You defend yourself like an artist of the blade. Once per round, you may use a minor action to perform a Duelist's Parry with an Accuracy-based melee weapon. To do so, make an attack roll opposed by the incoming melee attack -- it doesn't work against ranged attacks. If you succeed, you deflect the attack. You may use the duelist's parry out of initiative order, as long as you have an unused minor action, which it uses up.",86,FCRB
Duelist,Master,Duelist - Master,3,Rogue,Warrior,,"Accuracy 2, Dexterity 2, Proficiency In The Dueling Weapon Group, At Least The Novice Degree In One Fighting Style Talent That Applies To Accuracy-Based Melee Weapons","You learn how to riposte attacks, and to interrupt a strike with one of your own. You may devote your major action to a Duelist's Parry, even out of order, and if your roll beats that of both the attack and the opponent's Defense, your parry is also an attack and capable of generating stunt points with doubles. Furthermore, you are no longer limited to one Duelist's Parry per round, so you can devote your major action to the Master ability, and your minor action to the Expert ability.",86,FCRB
Elementalist,Novice,Elementalist - Novice,1,Mage,,,"One Of The Following Arcana Talents: Air, Cold, Earth, Fire, Lightning, Shadow, Water, or Wood","You have a talent for elemental magic. Choose one of the following spell talents to be your favored arcana: Air, Cold, Earth, Fire, Lightning, Shadow, Water, Wood. You not only gain a +1 bonus to casting rolls for spells from your favored arcana, but benefit from a +2 bonus to resist such spells when they're directed at you, as well.",87,FCRB
Elementalist,Expert,Elementalist - Expert,2,Mage,,,"One Of The Following Arcana Talents: Air, Cold, Earth, Fire, Lightning, Shadow, Water, or Wood","Your knowledge of your element is deep. When casting spells of your favored arcana, their cost in magic points is reduced by 1, to a minimum of 1.",87,FCRB
Elementalist,Master,Elementalist - Master,3,Mage,,,"One Of The Following Arcana Talents: Air, Cold, Earth, Fire, Lightning, Shadow, Water, or Wood",You understand the ties between elemental forces. You can choose a second favored arcana from the list.,87,FCRB
Gladiator,Novice,Gladiator - Novice,1,Rogue,Warrior,,"Constitution 2, The Strength (Intimidation) Or Communication (Performance) Focus","You're good at dispatching and disabling foes. As a free action you can either deliver a coup de grace or cause a foe you defeated to suffer the Scarred condition, as per Chapter 2: Basic Rules. You must have the Game Master's permission to inflict more than a cosmetic scar.",87,FCRB
Gladiator,Expert,Gladiator - Expert,2,Rogue,Warrior,,"Constitution 2, The Strength (Intimidation) Or Communication (Performance) Focus","Fighting with flair, your words and movements confound your enemy. If you use the Taunt stunt successfully in combat, you can extend its duration to your enemy's next two turns, instead of just their next turn.",87,FCRB
Gladiator,Master,Gladiator - Master,3,Rogue,Warrior,,"Constitution 2, The Strength (Intimidation) Or Communication (Performance) Focus","You're a bloody-handed entertainer. You may use basic social stunts as combat stunts, and when you do so, you get a rebate of 1 SP you may use for any other appropriate stunt, as long as you can justify it in the story, in the GM's opinion.",87,FCRB
Guardian,Novice,Guardian - Novice,1,Warrior,,,"Constitution 2, Dexterity 2, Novice Degree In The Two-Hander Style, Pole Weapons Style, or Weapon and Shield Style","The basic act of guardianship is to throw yourself in harm's way. Use an Activate minor action to select one ally within 4 yards. Once per round, when that ally is hit by an attack, you may make an opposed test of your Dexterity (Initiative) against the attack roll. If you succeed, you make the attack target you instead, as if it never hit the ally. This attack does hit you if the roll that originally was going to hit your ally would have hit you instead. You may select a new ally as a free action at the beginning of your turn.",87,FCRB
Guardian,Expert,Guardian - Expert,2,Warrior,,,"Constitution 2, Dexterity 2, Novice Degree In The Two-Hander Style, Pole Weapons Style, or Weapon and Shield Style","If you succeed at using the Novice ability, you may use a minor action to make a melee attack against the enemy attacking the ally you're protecting, even when it isn't your turn. You cannot generate SP with this attack, however, and even if you defeat the opponent, their attack strikes simulta- neously and is calculated against your Defense as usual.",87,FCRB
Guardian,Master,Guardian - Master,3,Warrior,,,"Constitution 2, Dexterity 2, Novice Degree In The Two-Hander Style, Pole Weapons Style, or Weapon and Shield Style","If you succeed at a counterattack using the Expert ability (which in turn requires using the Novice ability), your opponent never hit you with the attack you took for your ally, even if the roll indicates you would have been hit.",87,FCRB
Divine Heritage,Novice,Divine Heritage - Novice,1,Any,,,Communication 2,"You can call forth the light within you. Thus, you may use the Fire Arcana spell arcane lantern without a casting roll or spending magic points, but only for a combined total of one hour between periods of total rest (see chAPter 2: bAsic rules). If you also learn the spell itself, as a Mage or through some other means, you can cast it at will for 0 MP unless you have to push it (See Chapter 5: Magic). Futhermore, when you glow with this light and roll doubles on a basic test with social effects, you gain +1 SP on top of the Stunt Die result, as long as witnesses aren't enemies of the divine power it represents. Finally, your vision cannot be impaired by bright light.",88,FCRB
Divine Heritage,Expert,Divine Heritage - Expert,2,Any,,,Communication 2,"Not even blades and arrows can stay you from your divine purpose. You gain access to the following stunt: Righteous Focus (1-3 SP): Increase your Armor Rating by 1 per SP spent until the beginning of your next turn. When you use this stunt, you shine with divine light.",88,FCRB
Divine Heritage,Master,Divine Heritage - Master,3,Any,,,Communication 2,"You can channel your inner light to an intensity that can either empower life or burn your enemies. By using an Activate minor action you summon a visible divine aura. While the aura is active, your attacks and damaging spells inflict an additional 1d6 damage on enemies of your divine patron or ancestor. In addition, you can perform the Heal action on an ally within 10 yards, without equipment, as a minor action on your turn, once per round.",88,FCRB
Fey Heritage,Novice,Fey Heritage - Novice,1,Any,,,Perception 2 Or Wildfolk Ancestry,"You have the blessings of the secret powers that rule green places. Unless summoned or enhanced with magic, environmental hazards such as exposure, natural poisons, and even naturally occurring deadfalls inflict 2d6 damage less than usual. Reduce the damage dice by 2d6; if the result is 0 dice, you're immune to the hazard. You easily move through underbrush and other naturally difficult terrain, so that it doesn't reduce your movement unless you have to make tests to traverse it, such as a Dexterity (Acrobatics), Strength (Climbing), Constitution (Swimming) or similar test.",88,FCRB
Fey Heritage,Expert,Fey Heritage - Expert,2,Any,,,Perception 2 Or Wildfolk Ancestry,"As your ties to the Faerie realms hidden in the wilds deepen, whispers in the deep green bless you with a single benefit from the Wildfolk Species table in Chapter 1: Character Creation. You only gain one benefit, not all those associated with a wildfolk species type. Wildfolk gain this benefit in addition to their existing qualities, and it does not have to be from the wildfolk's usual species.",89,FCRB
Fey Heritage,Master,Fey Heritage - Master,3,Any,,,Perception 2 Or Wildfolk Ancestry,"Your fundamental connection to the Faerie wild can slip you away from danger. If there is any plant life or live earth within 2 yards of you, you can use a major action to collapse into flowers, leaves, vines, and foliage -- or perhaps leave a topiary-like plant figure in your place --and reappear, with all worn and carried items, in any thick brush, or crawling out of living earth, anywhere within a mile of your original location. Unfortunately, this reduces you to 0 Health. You gain the Helpless Defeat condition, and you can't use this ability again until a lunar month (or the equivalent in your campaign) has passed.",89,FCRB
Infernal Heritage,Novice,Infernal Heritage - Novice,1,Any,,,Willpower 2,"You become resistant to heat, fire, and flame, able to reach into boiling water or touch hot metal without injuring yourself. You reduce damage taken from any fire source, even magical ones, by an amount equal to your Willpower. Hot weather won't harm you on your travels either. You also gain Dark Sight, which allows you to see up to 20 yards in darkness without a light source. If your ancestry already provides Dark Sight, increase the range by 10 yards. Some manifestations of one's infernal heritage recall legends of frozen hell-realms instead. These produce resistance to cold, not heat, using the same rules. They also provide Dark Sight, as above.",89,FCRB
Infernal Heritage,Expert,Infernal Heritage - Expert,2,Any,,,Willpower 2,"The presence of infernal supernatural forces sings to your blood and bones. When you encounter supernatural forces related to your heritage, including magic items, sites, spells, true demons, others of your kind, and cases of demonic possession, you can make a Perception (Empathy) test with a TN set by the GM (usually the Spellpower of spells, an opposed test vs. Willpower (Self-Discipline) for creatures, but items and sites could be any TN) to either detect a demonic element, or intuit one useful piece of information if you already know the forces of corruption are present. This may or may not apply to distantly related or unrelated malevolent powers, at the GM's discretion.",89,FCRB
Infernal Heritage,Master,Infernal Heritage - Master,3,Any,,,Willpower 2,"Depending on whether your heritage evokes lethal cold or hellfire, you can imbue your melee attacks and touch with it. If you are aligned with flame, you can set ordinary fires with a touch, and when you use the Mighty Blow or Lethal Blow stunts, the extra damage you inflict is penetrating damage, unless your foe is resistant to fire. If you are aligned with abyssal chill, you can freeze a gallon of water with a touch and extinguish moderately sized fires. You also inflict penetrating damage with Mighty Blow or Lethal Blow due to your cold-infused melee attacks unless your foe is resistant to cold.",90,FCRB
Holy Warrior,Novice,Holy Warrior - Novice,1,Warrior,,,"Fighting 2, The Willpower (Faith) Focus","Your fury at enemies of the faith (or cold desire to bring them ""final mercy,"" perhaps) helps your blows rend them asunder. When performing a Mighty or Lethal Blow stunt against an enemy of your faith (as determined by your GM), you may add your Willpower to the total damage it does.",90,FCRB
Holy Warrior,Expert,Holy Warrior - Expert,2,Warrior,,,"Fighting 2, The Willpower (Faith) Focus","Your faith chains you to the true path, against deception and temptation. You gain a +1 bonus to Willpower (Faith) tests. Furthermore, you may always choose to use Willpower (Faith) against tests attempting to sway you from your sworn duties or otherwise alter your thoughts or emotions, regardless of the usual ability and focus required to resist such effects.",90,FCRB
Holy Warrior,Master,Holy Warrior - Master,3,Warrior,,,"Fighting 2, The Willpower (Faith) Focus","For you, bloodshed is a sacrament. Once per round you can choose to make an attack that hits an adjacent (within 2 yards) ally strike you, instead. When you take damage from this redirected attack, you may add your Willpower (Faith) focus bonus to your Armor Rating.",90,FCRB
Hunter,Novice,Hunter - Novice,1,Rogue,Warrior,,"Perception 2 , The Perception (Tracking) Focus","You know how to stalk your prey and strike true. If you fail a Perception (Tracking) test you may roll again, but you must accept the results of the second roll. In addition, pick one weapon group from among Bows, Spears, and Slings. You gain +2 to damage with all weapons of that type.",90,FCRB
Hunter,Expert,Hunter - Expert,2,Rogue,Warrior,,"Perception 2 , The Perception (Tracking) Focus","You know how to ambush your prey. If you succeed at a Perception (Tracking) test to follow a target, or a Dexterity (Stealth) test to lie in wait, your first attack roll against them generates 1 SP whether you roll doubles or not, and stacks with SP from doubles or other sources.",90,FCRB
Hunter,Master,Hunter - Master,3,Rogue,Warrior,,"Perception 2 , The Perception (Tracking) Focus","You have the persistence and accuracy of a predator. Each time you successfully hit an enemy, you gain a +1 bonus to attack rolls and damage if you attack them again on your next turn. This lasts until your bonus becomes +3/+3, you miss, you do not attack them on your turn, you take damage from any other source, or you are seriously distracted, such as by the effects of a spell or special quality.",90,FCRB
Knight,Novice,Knight - Novice,1,Envoy,Warrior,,"Strength 2, Dexterity 2, Proficiency In the Lances weapon group, Mounted Combat Style (Novice)","Your enemies need to get out of your way or be crushed, impaled, or both. When you hit an enemy from atop a mount with a melee weapon, your target must also make a Dexterity (Initiative) test opposed by your successful attack roll. If they fail, they must choose between being pushed 4 yards away from where they were hit (they choose the direction) or standing firm and taking an extra 1d6 damage. This applies to both mounted and foot combatants, except for others with this ability, who are immune. In addition, if you are an Envoy, you may learn the Mounted Combat Style talent normally restricted to Warriors.",90,FCRB
Knight,Expert,Knight - Expert,2,Envoy,Warrior,,"Strength 2, Dexterity 2, Proficiency In the Lances weapon group, Mounted Combat Style (Novice)","Your lance hits with the strength of an ogre. When performing a mounted Charge action, add 1d6 to your weapon's damage; if it's from the Lances weapon group, add an additional +2 to damage.",91,FCRB
Knight,Master,Knight - Master,3,Envoy,Warrior,,"Strength 2, Dexterity 2, Proficiency In the Lances weapon group, Mounted Combat Style (Novice)","Your foes tremble at the thought of you crashing into them astride your steed. Add +1 to your Defense while mounted. You can also urge your mount to move their full Speed, not half, during a mounted Charge action.",91,FCRB
Mage Hunter,Novice,Mage Hunter - Novice,1,Rogue,Warrior,,"Accuracy 2, Willpower 2, proficiency in the Black Powder weapon group","Your Accuracy-based ranged attack rolls count as magical, for the purposes of damaging creatures resistant to non-magical attacks. You receive a +2 bonus to tests to resist spells and horror (see Chapter 5: Magic for how to resist spells, and Chapter 8: Mastering the Rules for horror rules).",91,FCRB
Mage Hunter,Expert,Mage Hunter - Expert,2,Rogue,Warrior,,"Accuracy 2, Willpower 2, proficiency in the Black Powder weapon group","Your bonus to tests to resist spells and horror increases to +3. Furthermore, you can attack spells themselves. As a major action, make an attack roll with a magical weapon (including the magical attack granted to you by the Novice degree) against the Spellpower of a spell whose duration is currently running. You inflict damage against the magic points used to cast the spell as its ""Health"". If you inflict cumulative damage equal to or exceeding the spell's magic points, the spell's duration ends. This power doesn't work on magic items, permanent spells, or spells with an instantaneous effect, and cannot undo the effects of that spells have brought about prior to your attack. The GM is the final arbiter of which spells may be attacked.",91,FCRB
Mage Hunter,Master,Mage Hunter - Master,3,Rogue,Warrior,,"Accuracy 2, Willpower 2, proficiency in the Black Powder weapon group","You can drain Mages and other magic-using creatures (defined as any creature with magic points) of power. When you hit such a creature with a magical attack (including the magical attack granted to you by the Novice degree), your target loses 1d6 + your Willpower in magic points in addition to taking normal damage.",91,FCRB
Mariner,Novice,Mariner - Novice,1,Any,,,Dexterity (Sailing) Focus,"Years at sea make sailing second nature.
You may reroll any Dexterity (Sailing) test, but must take the second result.",91,FCRB
Mariner,Expert,Mariner - Expert,2,Any,,,Dexterity (Sailing) Focus,"A life in the riggings makes you an agile shipboard combatant. On ship’s ladders or rigging, you can climb your full Speed and fight with a one-handed weapon at no penalty. If you would fall due to the Knock Prone stunt or another circumstance aboard ship, you may make a last-ditch Dexterity (Sailing) test to catch yourself in addition to any other test the GM allows, at a TN of 15 or whatever the GM assigns.",91,FCRB
Mariner,Master,Mariner - Master,3,Any,,,Dexterity (Sailing) Focus,"Together, you and your crew can overcome the sea’s perils. You may use a minor action to grant an ally within 4 yards a +2 bonus to the Stunt Die of their next test or attack roll, as long as they attempt it before your next turn. Two mariners with this ability may grant it to each other, but multiple uses don’t stack.",91,FCRB
Pirate,Novice,Pirate - Novice,1,Any,,,Dexterity (Sailing) Focus,Your sea legs and awareness of marine combat makes you even more effective on the water than on land. You gain +1 Defense and +1 damage to attacks when fighting on a ship.,91,FCRB
Pirate,Expert,Pirate - Expert,2,Any,,,Dexterity (Sailing) Focus,"There’s no such thing as a fair fight. When attacking a foe who is Prone or under the effects of any condition or personal circumstance that penalizes attack rolls or Defense, you may perform the Mighty Blow, Lethal Blow, or Lightning Attack stunts for 1 SP less than normal.",91,FCRB
Pirate,Master,Pirate - Master,3,Any,,,Dexterity (Sailing) Focus,"Landlubbers are your natural prey. When fighting anyone aboard a ship who has a lower Dexterity + Sailing focus bonus than you, you inflict an extra 1d6 damage.",91,FCRB
Marked,Novice,Marked - Novice,1,Envoy,Rogue,Warrior,"Constitution3, Willpower 3, The Willpower (Self-Discipline) Focus. If You Belong To The Warrior Class You Do Not Need To Meet These Requirements.","Gain one Mark from the following list:
Beastmark: You have a mark that looks like or symbolizes a dangerous creature, such as a snake, panther, or dragon. If you hit with a melee attack and have stunt points to spend, you can use the Lightning Attack Stunt for just 1 SP as the creature animates and strikes, using Accu- racy (Brawling), but regardless of what your mark represents it inflicts 1d6 + Strength damage.
Fishmark: You can breathe underwater, suffer no penal- ties to operate underwater, and move at your normal speed while swimming.
Mark of the Arcane: You gain the ability to use one Novice degree spell from any Arcana the GM allows, and 4 + Willpower magic points. The MP cost to cast the spell cannot be higher than the magic points you initially gain from this mark, though you may use other sources of magic points to cast the granted spell, or use the magic points granted by this mark to cast other spells, though this is an uncommon situation since Mages cannot become Marked.
Mark of Might: You gain +2 damage to melee attacks and +1 bonus to all Strength (Might) tests.
Mark of Speed: +2 to Speed and +1 bonus to all Dexterity (Initiative) tests.
Mark of War: You can magically store two one-handed weapons, one two-handed weapon, or a weapon and shield inside a mystical pocket dimension accessed through your mark. You can summon these weapons to your hands as a minor action.
Spidermark: You can move along walls and ceilings at your normal Speed, and otherwise take actions as if you were on the ground, though this does not truly eliminate the effects of gravity. Dropped objects fall as they should, and if youâ€™re knocked Prone, you fall in the same direc- tion as everyone else.
Warding Mark: Reduce the Spellpower of any spell targeting you by 2.You may take other marks of similar power level that the Game Master has devised, or that you propose to the GM if they approve it.",92,FCRB
Marked,Expert,Marked - Expert,2,Envoy,Rogue,Warrior,"Constitution3, Willpower 3, The Willpower (Self-Discipline) Focus. If You Belong To The Warrior Class You Do Not Need To Meet These Requirements.",Gain another Mark.,93,FCRB
Marked,Master,Marked - Master,3,Envoy,Rogue,Warrior,"Constitution3, Willpower 3, The Willpower (Self-Discipline) Focus. If You Belong To The Warrior Class You Do Not Need To Meet These Requirements.","Gain another Mark. Furthermore, your body is now infused with mystic energies, granting you a natural Armor Rating of 2. This stacks with worn armor.",93,FCRB
